Occupation,AI Talent% Relative to Total Headcount,AI-Required Position Retention Rate,AI-Required Position Hire Rate,Average Salary for Positions Without AI Requirements,Average Salary for Positions With AI Requirements,AI_Salary_Premium ,Number of Job Posts Without AI Requirement,Number of Job Posts With AI Requirement
outside sales,1.39%,92.77%,5.04%," 84,275 "," 93,041 ",10.40%," 1,084 ", 13 
outside sales representative,1.20%,93.85%,4.56%," 72,936 "," 82,147 ",12.63%," 6,309 ", 63 
overnight stocker,0.25%,100.00%,7.14%," 40,125 "," 42,020 ",4.72%," 4,143 ", 67 
pa,2.08%,92.86%,0.00%," 76,218 "," 85,295 ",11.91%, 574 , 22 
package handler,1.31%,94.39%,4.36%," 40,863 "," 47,172 ",15.44%," 9,477 ", 100 
packaging,1.27%,100.00%,0.00%," 44,963 "," 41,330 ",-8.08%," 3,056 ", 23 
packaging engineer,1.82%,97.15%,0.70%," 96,193 "," 122,506 ",27.35%," 2,256 ", 66 
packer,0.54%,96.65%,4.55%," 35,643 "," 37,411 ",4.96%," 3,109 ", 18 
paralegal,0.74%,98.81%,0.00%," 74,785 "," 92,439 ",23.61%," 1,574 ", 87 
paramedic,1.83%,93.61%,4.22%," 60,188 "," 60,928 ",1.23%, 553 , 16 
parts,1.59%,95.56%,3.05%," 49,129 "," 47,088 ",-4.15%," 1,422 ", 15 
parts sales,0.77%,93.15%,6.81%," 49,140 "," 42,178 ",-14.17%," 1,151 ", 14 
passenger service agent,0.44%,90.00%,0.00%," 47,432 "," 54,221 ",14.31%, 781 , 17 
payroll,1.07%,97.35%,1.77%," 79,495 "," 108,861 ",36.94%," 1,985 ", 62 
payroll administrator,0.57%,100.00%,0.00%," 51,883 "," 62,582 ",20.62%," 3,153 ", 85 
payroll analyst,3.26%,93.24%,1.85%," 78,402 "," 90,247 ",15.11%," 2,093 ", 106 
payroll coordinator,1.83%,95.43%,1.52%," 59,857 "," 66,918 ",11.80%," 4,473 ", 73 
people,3.49%,88.88%,1.97%," 94,348 "," 132,933 ",40.90%," 1,279 ", 83 
petroleum engineer,6.09%,98.61%,4.55%," 109,321 "," 73,250 ",-33.00%, 135 , 3 
pharmaceutical sales,1.72%,90.51%,3.02%," 92,258 "," 116,268 ",26.02%," 2,128 ", 36 
pharmaceutical sales representative,0.94%,91.51%,2.43%," 76,637 "," 82,476 ",7.62%," 2,629 ", 22 
pharmacist,0.16%,98.65%,0.00%," 102,332 "," 122,467 ",19.68%, 759 , 5 
pharmacovigilance,2.25%,95.21%,0.00%," 104,641 "," 110,472 ",5.57%, 652 , 27 
pharmacy,0.50%,97.14%,0.75%," 78,757 "," 126,317 ",60.39%, 709 , 5 
pharmacy tech,0.68%,100.00%,0.00%," 46,418 "," 43,465 ",-6.36%," 1,532 ", 20 
pharmacy technician,0.37%,93.06%,2.99%," 44,242 "," 39,995 ",-9.60%," 1,705 ", 25 
phlebotomist,1.34%,94.31%,3.50%," 49,181 "," 56,150 ",14.17%," 4,184 ", 61 
phone banker,1.26%,91.47%,2.78%," 44,603 "," 50,141 ",12.42%," 2,276 ", 35 
photo,1.23%,95.27%,5.19%," 52,701 "," 62,973 ",19.49%," 1,399 ", 20 
photographer,3.42%,93.64%,4.71%," 63,077 "," 64,655 ",2.50%, 352 , 10 
physical design engineer,4.65%,95.82%,1.69%," 110,586 "," 140,185 ",26.76%," 6,981 "," 2,155 "
physical therapist,0.68%,96.09%,5.87%," 75,374 "," 74,446 ",-1.23%," 2,344 ", 65 
physician,1.44%,96.17%,2.97%," 118,584 "," 149,120 ",25.75%," 2,958 ", 175 
picker,0.89%,94.83%,5.30%," 36,463 "," 31,960 ",-12.35%," 2,629 ", 20 
pilot,1.13%,93.88%,4.62%," 75,719 "," 107,586 ",42.09%," 1,235 ", 44 
pipefitter,0.79%,97.50%,0.00%," 56,928 "," 63,508 ",11.56%," 6,736 ", 154 
piping designer,1.07%,95.45%,0.00%," 84,688 "," 89,837 ",6.08%," 1,329 ", 38 
piping engineer,2.60%,96.15%,0.00%," 112,750 "," 138,726 ",23.04%," 3,172 ", 162 
placement,1.12%,100.00%,16.67%," 50,315 "," 48,458 ",-3.69%, 149 , 7 
planner,1.15%,97.26%,2.70%," 83,000 "," 87,385 ",5.28%," 1,042 ", 18 
planner buyer,5.14%,93.48%,4.45%," 83,694 "," 82,609 ",-1.30%," 1,057 ", 21 
planning,3.15%,96.02%,2.00%," 114,434 "," 137,363 ",20.04%, 736 , 14 
planning analyst,8.77%,97.01%,1.87%," 95,585 "," 104,981 ",9.83%, 482 , 12 
planning engineer,3.92%,94.99%,1.34%," 113,509 "," 110,209 ",-2.91%, 321 , 4 
plant,0.95%,94.45%,3.16%," 88,182 "," 82,473 ",-6.47%," 4,549 ", 43 
plant controller,4.16%,96.82%,1.91%," 94,884 "," 126,605 ",33.43%," 1,044 ", 21 
plant engineer,1.94%,93.03%,0.97%," 98,046 "," 131,350 ",33.97%, 609 , 2 
pm,7.60%,97.73%,0.00%," 129,218 "," 167,407 ",29.55%, 208 , 25 
pmo,5.99%,98.06%,1.92%," 132,821 "," 151,952 ",14.40%," 1,440 ", 85 
pmo analyst,5.84%,94.44%,0.00%," 92,634 "," 93,867 ",1.33%, 761 , 24 
portfolio,3.62%,95.95%,1.33%," 144,761 "," 162,728 ",12.41%," 1,222 ", 66 
portfolio analyst,12.35%,95.10%,2.47%," 93,101 "," 98,026 ",5.29%," 2,685 ", 122 
postman,1.11%,92.69%,1.43%," 40,915 "," 44,845 ",9.60%," 1,714 ", 29 
pr,1.99%,88.89%,5.56%," 84,624 "," 129,855 ",53.45%, 370 , 21 
premier relationship,1.07%,100.00%,0.00%," 75,701 "," 111,771 ",47.65%, 374 , 5 
presales,8.22%,91.99%,0.00%," 119,641 "," 141,644 ",18.39%, 431 , 51 
presales consultant,9.43%,100.00%,2.27%," 108,106 "," 120,596 ",11.55%, 170 , 27 
press,1.49%,89.68%,4.13%," 48,193 "," 59,235 ",22.91%, 448 , 9 
pricing,4.57%,98.28%,0.57%," 115,214 "," 180,960 ",57.07%, 607 , 26 
pricing analyst,7.98%,93.97%,2.16%," 91,948 "," 107,787 ",17.23%," 2,018 ", 44 
problem,2.44%,100.00%,4.17%," 91,869 "," 95,804 ",4.28%, 158 , 11 
process,1.45%,96.11%,1.54%," 87,699 "," 111,986 ",27.69%, 717 , 12 
process analyst,5.65%,95.42%,2.15%," 88,366 "," 94,273 ",6.69%, 430 , 30 
process consultant,9.10%,93.28%,1.91%," 115,709 "," 132,365 ",14.39%, 476 , 37 
process control engineer,17.65%,98.37%,0.54%," 116,956 "," 123,387 ",5.50%, 729 , 50 
process developer,1.20%,100.00%,0.00%," 71,553 "," 83,021 ",16.03%, 255 , 9 
process development,4.13%,94.59%,1.79%," 137,803 "," 146,046 ",5.98%, 978 , 43 
process development engineer,4.96%,93.97%,2.36%," 110,341 "," 127,672 ",15.71%," 4,182 ", 203 
process engineer,3.89%,95.40%,1.47%," 106,011 "," 126,706 ",19.52%," 3,307 ", 60 
process engineering,6.37%,92.84%,2.78%," 85,471 "," 91,738 ",7.33%," 1,524 ", 26 
process technician,2.52%,95.69%,1.63%," 59,352 "," 69,402 ",16.93%," 2,252 ", 21 
processing,1.03%,91.67%,4.17%," 47,473 "," 47,840 ",0.77%, 286 , 1 
processor,0.32%,87.50%,0.00%," 43,244 "," 52,657 ",21.77%, 484 , 14 
procurement,2.19%,97.79%,1.88%," 111,576 "," 130,323 ",16.80%," 1,381 ", 56 
procurement agent,1.08%,91.77%,2.63%," 87,213 "," 92,013 ",5.50%," 1,336 ", 57 
procurement analyst,4.66%,96.92%,1.41%," 78,086 "," 72,939 ",-6.59%," 1,425 ", 51 
procurement officer,2.19%,92.11%,2.63%," 79,073 "," 50,808 ",-35.75%, 203 , 16 
produce,0.81%,97.44%,5.27%," 39,198 "," 33,281 ",-15.09%, 743 , 2 
producer,1.73%,93.84%,1.95%," 96,225 "," 99,617 ",3.52%, 953 , 44 
product,7.54%,94.77%,2.27%," 159,058 "," 181,911 ",14.37%," 1,915 ", 298 
product analyst,9.47%,93.86%,1.96%," 105,045 "," 133,150 ",26.76%," 1,751 ", 179 
product consultant,8.49%,93.62%,3.05%," 140,733 "," 148,532 ",5.54%, 95 , 3 
product design,15.10%,90.87%,5.11%," 128,890 "," 169,166 ",31.25%," 1,317 ", 242 
product design engineer,2.90%,92.67%,3.53%," 112,182 "," 144,850 ",29.12%," 1,049 ", 39 
product designer,8.92%,91.90%,4.48%," 119,563 "," 147,158 ",23.08%," 1,136 ", 227 
product developer,4.72%,95.36%,1.52%," 92,175 "," 152,551 ",65.50%, 139 , 9 
product development,6.82%,93.89%,3.85%," 132,853 "," 176,524 ",32.87%, 791 , 23 
product development engineer,5.18%,96.07%,2.79%," 109,360 "," 148,956 ",36.21%," 1,202 ", 50 
product engineer,4.74%,96.33%,0.87%," 112,732 "," 151,602 ",34.48%," 1,179 ", 54 
product engineering,9.03%,94.02%,2.67%," 142,692 "," 176,768 ",23.88%," 1,046 ", 154 
product marketing,16.33%,93.79%,3.54%," 138,737 "," 163,631 ",17.94%," 5,104 ", 995 
product sales,1.38%,96.97%,1.52%," 90,395 "," 79,678 ",-11.86%, 195 , 3 
product support,3.98%,94.53%,2.50%," 93,127 "," 100,805 ",8.25%, 482 , 35 
product support engineer,4.85%,95.87%,2.93%," 96,170 "," 110,815 ",15.23%, 751 , 53 
production,0.57%,97.34%,0.89%," 62,107 "," 60,862 ",-2.01%," 2,950 ", 18 
production artist,1.88%,93.71%,1.80%," 68,641 "," 80,570 ",17.38%," 3,156 ", 134 
production control,2.22%,91.95%,0.68%," 81,809 "," 84,664 ",3.49%, 522 , 11 
production coordinator,1.05%,98.96%,2.11%," 68,821 "," 61,441 ",-10.72%," 3,739 ", 46 
production engineer,3.45%,95.05%,1.41%," 114,689 "," 134,200 ",17.01%, 609 , 12 
production engineering,6.25%,94.86%,2.72%," 89,866 "," 161,746 ",79.99%, 116 , 2 
production scheduler,1.83%,93.16%,0.68%," 70,009 "," 68,030 ",-2.83%," 2,357 ", 33 
production support,3.25%,97.37%,0.00%," 70,910 "," 81,972 ",15.60%, 264 , 6 
production technician,1.28%,97.32%,0.91%," 47,246 "," 48,492 ",2.64%," 2,624 ", 22 
products,15.60%,93.39%,2.58%," 172,833 "," 198,122 ",14.63%," 1,754 ", 425 
professor,8.22%,94.20%,5.35%," 108,452 "," 134,267 ",23.80%, 269 , 13 
programme,4.35%,85.35%,0.00%," 149,293 "," 180,137 ",20.66%, 398 , 28 
programmer,3.40%,97.27%,0.68%," 94,836 "," 94,535 ",-0.32%, 81 , 6 
programmer analyst,4.82%,96.25%,0.80%," 109,615 "," 120,898 ",10.29%, 380 , 41 
programming analyst,11.78%,96.19%,0.70%," 109,903 "," 99,754 ",-9.23%, 90 , 12 
project,3.49%,96.07%,1.80%," 110,361 "," 110,888 ",0.48%," 2,150 ", 52 
project accountant,3.35%,96.46%,2.13%," 97,284 "," 108,258 ",11.28%," 1,045 ", 44 
project administrator,1.85%,94.98%,0.98%," 67,292 "," 66,485 ",-1.20%," 1,048 ", 35 
project analyst,5.38%,95.88%,1.64%," 96,948 "," 104,743 ",8.04%," 1,519 ", 52 
project architect,1.68%,100.00%,0.00%," 115,048 "," 168,457 ",46.42%, 311 , 13 
project business analyst,5.03%,97.66%,0.00%," 100,242 "," 84,430 ",-15.77%, 142 , 4 
project consultant,5.42%,96.29%,1.39%," 116,179 "," 112,817 ",-2.89%," 1,269 ", 49 
project control,3.67%,96.15%,0.00%," 119,066 "," 93,603 ",-21.39%, 185 , 3 
project controller,8.08%,98.33%,0.00%," 109,656 "," 90,842 ",-17.16%, 317 , 18 
project controls,5.24%,96.25%,1.42%," 109,415 "," 123,651 ",13.01%," 3,556 ", 123 
project coordinator,1.72%,94.06%,2.47%," 85,634 "," 81,530 ",-4.79%," 1,089 ", 34 
project delivery,5.07%,98.50%,0.75%," 119,543 "," 116,575 ",-2.48%," 3,128 ", 104 
project development,1.83%,94.59%,0.65%," 123,028 "," 83,235 ",-32.34%, 207 , 2 
project engineer,2.64%,96.05%,0.91%," 112,374 "," 124,595 ",10.88%," 2,739 ", 68 
project engineering,2.71%,96.26%,1.13%," 98,473 "," 109,933 ",11.64%," 1,453 ", 31 
project finance,3.73%,99.07%,1.85%," 129,728 "," 131,707 ",1.53%, 478 , 9 
project officer,2.84%,92.31%,5.77%," 75,880 "," 67,184 ",-11.46%, 150 , 4 
project planner,2.05%,96.38%,0.00%," 99,779 "," 98,187 ",-1.60%," 1,130 ", 20 
project scrum,8.50%,97.13%,0.47%," 119,816 "," 142,827 ",19.21%," 2,187 ", 240 
project support,3.23%,92.86%,7.14%," 70,122 "," 67,850 ",-3.24%, 106 , 7 
projectmanager,2.96%,100.00%,0.00%," 107,347 "," 115,808 ",7.88%, 629 , 20 
promotions,2.30%,92.07%,4.30%," 50,697 "," 57,514 ",13.45%," 1,496 ", 38 
property,0.61%,95.48%,2.24%," 65,727 "," 62,134 ",-5.47%," 1,102 ", 25 
proposal,1.91%,97.92%,1.04%," 102,055 "," 108,929 ",6.73%," 1,572 ", 77 
public affairs,2.43%,91.81%,6.94%," 98,294 "," 102,529 ",4.31%," 2,016 ", 82 
public relations,1.70%,91.10%,6.41%," 83,932 "," 92,672 ",10.41%, 145 , 16 
purchase,1.83%,100.00%,0.00%," 86,836 "," 141,770 ",63.26%, 85 , 3 
purchaser,0.98%,91.29%,4.17%," 67,117 "," 70,798 ",5.49%, 430 , 17 
purchasing,1.47%,91.12%,2.80%," 85,311 "," 79,302 ",-7.04%, 431 , 14 
purchasing agent,1.63%,90.09%,2.20%," 58,222 "," 57,565 ",-1.13%, 760 , 21 
qa,3.34%,96.71%,0.00%," 92,540 "," 113,039 ",22.15%, 403 , 16 
qa analyst,14.22%,98.26%,0.52%," 97,871 "," 103,631 ",5.89%," 1,454 ", 122 
qa engineer,16.43%,97.99%,0.31%," 105,853 "," 110,912 ",4.78%, 364 , 44 
qa qc,0.75%,100.00%,8.33%," 94,609 "," 101,104 ",6.87%, 341 , 5 
qa tester,10.65%,98.42%,1.05%," 87,913 "," 90,387 ",2.81%, 180 , 19 
qc,0.99%,92.86%,0.00%," 78,110 "," 84,218 ",7.82%, 250 , 7 
qc analyst,2.76%,95.45%,4.55%," 81,182 "," 95,793 ",18.00%, 792 , 43 
qc inspector,0.53%,97.50%,0.00%," 67,146 "," 65,440 ",-2.54%," 3,172 ", 42 
quality,1.16%,94.94%,1.69%," 110,052 "," 147,690 ",34.20%," 2,232 ", 35 
quality analyst,2.23%,97.32%,1.79%," 79,882 "," 103,250 ",29.25%, 911 , 22 
quality assurance,1.29%,95.84%,1.27%," 97,762 "," 110,431 ",12.96%," 2,122 ", 45 
quality assurance analyst,5.00%,97.36%,0.13%," 80,681 "," 90,194 ",11.79%," 2,813 ", 107 
quality assurance engineer,8.72%,97.11%,0.88%," 101,446 "," 111,048 ",9.47%, 608 , 34 
quality assurance technician,1.33%,94.20%,1.05%," 54,664 "," 66,659 ",21.94%," 2,854 ", 44 
quality assurance tester,8.37%,95.21%,0.68%," 75,687 "," 97,744 ",29.14%, 314 , 27 
quality auditor,1.02%,90.74%,1.85%," 66,249 "," 121,577 ",83.52%, 650 , 1 
quality control,0.83%,95.08%,1.65%," 61,287 "," 91,388 ",49.12%, 391 , 9 
quality control analyst,1.94%,93.56%,3.88%," 67,826 "," 78,138 ",15.20%," 1,262 ", 57 
quality control inspector,0.69%,96.45%,0.00%," 51,664 "," 56,370 ",9.11%," 2,802 ", 30 
quality control technician,1.63%,94.58%,3.64%," 51,680 "," 54,948 ",6.32%," 1,618 ", 17 
quality coordinator,1.63%,94.44%,3.03%," 79,481 "," 77,698 ",-2.24%," 2,033 ", 20 
quality engineer,2.79%,96.25%,1.79%," 98,428 "," 113,897 ",15.72%," 2,786 ", 87 
quality engineering,5.56%,93.75%,4.72%," 99,464 "," 131,904 ",32.61%," 2,185 ", 123 
quality inspector,1.25%,92.72%,2.59%," 50,782 "," 47,547 ",-6.37%," 2,773 ", 27 
quality systems,3.01%,97.30%,1.35%," 110,180 "," 129,655 ",17.68%," 3,365 ", 79 
quality technician,1.68%,92.97%,0.75%," 53,455 "," 70,545 ",31.97%," 1,637 ", 20 
quantitative analyst,25.87%,96.05%,2.65%," 110,812 "," 134,652 ",21.51%," 3,842 ", 920 
quantity surveyor,3.17%,87.50%,0.00%," 93,423 "," 104,169 ",11.50%, 723 , 15 
r d,8.34%,96.89%,3.64%," 156,516 "," 177,862 ",13.64%, 241 , 17 
r d engineer,18.49%,95.78%,4.08%," 122,747 "," 141,531 ",15.30%, 686 , 156 
r d project,4.61%,94.12%,3.13%," 128,848 "," 146,895 ",14.01%, 348 , 20 
ramp agent,0.69%,94.52%,1.50%," 46,106 "," 38,259 ",-17.02%," 2,608 ", 40 
real estate,0.83%,92.28%,2.00%," 107,055 "," 138,158 ",29.05%," 1,378 ", 34 
real estate broker,0.86%,97.23%,2.40%," 77,060 "," 95,360 ",23.75%, 813 , 12 
realtor,0.75%,94.77%,3.64%," 66,672 "," 99,896 ",49.83%," 2,550 ", 28 
receiving,1.30%,94.44%,2.54%," 41,357 "," 42,724 ",3.30%," 4,938 ", 45 
reception,0.49%,100.00%,0.00%," 40,204 "," 45,838 ",14.01%, 242 , 2 
receptionist,0.91%,93.53%,2.93%," 37,433 "," 44,344 ",18.46%," 1,702 ", 29 
records,4.10%,94.61%,1.26%," 58,421 "," 67,965 ",16.34%," 1,619 ", 35 
recruiter,3.47%,93.81%,4.00%," 60,415 "," 91,075 ",50.75%," 1,177 ", 36 
recruiting,6.19%,92.88%,2.43%," 85,105 "," 135,672 ",59.42%, 923 , 38 
recruiting coordinator,5.44%,91.07%,2.67%," 54,918 "," 73,048 ",33.01%," 5,438 ", 230 
recruitment,2.45%,95.12%,2.82%," 51,396 "," 67,580 ",31.49%," 1,242 ", 27 
recruitment consultant,3.61%,95.09%,4.94%," 81,046 "," 109,509 ",35.12%," 6,189 ", 277 
recruitment coordinator,2.09%,90.69%,2.86%," 53,221 "," 56,015 ",5.25%," 2,364 ", 54 
regulatory,1.09%,89.45%,0.00%," 130,808 "," 145,960 ",11.58%, 668 , 20 
regulatory affairs,0.88%,94.59%,1.97%," 129,396 "," 143,698 ",11.05%," 1,899 ", 89 
regulatory compliance,2.12%,95.65%,0.00%," 116,342 "," 134,893 ",15.95%," 2,933 ", 128 
reimbursement,2.71%,95.73%,0.76%," 70,997 "," 92,029 ",29.62%," 4,887 ", 166 
relations,2.99%,92.49%,4.25%," 98,544 "," 121,804 ",23.60%, 587 , 23 
relationship,1.73%,94.67%,0.90%," 102,824 "," 112,163 ",9.08%, 727 , 37 
relationship banker,0.20%,97.50%,2.50%," 52,955 "," 105,708 ",99.62%, 720 , 7 
relationship banking,2.24%,66.67%,0.00%," 128,459 "," 124,232 ",-3.29%, 157 , 3 
relationship officer,0.50%,100.00%,0.00%," 63,722 "," 80,950 ",27.04%, 219 , 7 
release,6.80%,97.89%,0.72%," 118,799 "," 141,534 ",19.14%, 539 , 42 
reliability engineer,8.08%,96.12%,1.47%," 106,466 "," 125,721 ",18.09%," 3,161 ", 139 
replenishment,4.23%,93.24%,2.41%," 57,785 "," 69,119 ",19.61%, 531 , 4 
reporter,2.92%,92.00%,7.22%," 70,719 "," 78,954 ",11.64%, 748 , 45 
reporting,10.82%,94.87%,7.66%," 116,019 "," 133,402 ",14.98%, 261 , 13 
reporting analyst,22.18%,94.69%,2.32%," 93,536 "," 100,544 ",7.49%," 2,952 ", 168 
representative,0.93%,94.79%,4.54%," 56,985 "," 72,395 ",27.04%, 125 , 1 
research,15.10%,91.96%,10.92%," 99,117 "," 124,847 ",25.96%, 971 , 138 
research analyst,10.32%,92.99%,5.83%," 108,420 "," 127,332 ",17.44%, 632 , 32 
research chemist,2.11%,93.27%,2.32%," 124,619 "," 151,110 ",21.26%," 1,436 ", 103 
research development,7.51%,93.03%,5.99%," 115,215 "," 192,038 ",66.68%, 174 , 4 
research development engineer,14.08%,93.39%,7.99%," 81,624 "," 104,249 ",27.72%, 272 , 28 
research engineer,23.47%,94.99%,6.32%," 133,697 "," 168,025 ",25.68%," 1,550 ", 505 
research scientist,9.07%,93.64%,4.73%," 138,084 "," 165,300 ",19.71%," 1,783 ", 580 
research technician,4.42%,89.39%,4.58%," 76,657 "," 90,705 ",18.33%, 320 , 10 
researcher,15.45%,93.98%,8.13%," 123,611 "," 159,757 ",29.24%, 162 , 69 
reservations,2.50%,92.94%,2.94%," 54,412 "," 59,970 ",10.21%," 1,200 ", 30 
reservations agent,0.72%,87.08%,6.46%," 45,807 "," 57,413 ",25.34%, 922 , 23 
reservoir engineer,8.31%,96.08%,0.80%," 122,147 "," 140,733 ",15.22%," 2,356 ", 208 
resident,1.12%,92.44%,6.03%," 57,895 "," 43,372 ",-25.09%, 678 , 8 
resident engineer,1.39%,97.96%,4.08%," 105,866 "," 118,802 ",12.22%," 1,589 ", 46 
resolution,1.48%,94.81%,0.00%," 57,122 "," 62,435 ",9.30%," 1,210 ", 27 
resourcing,2.05%,75.00%,0.00%," 74,064 "," 107,642 ",45.34%," 9,650 ", 677 
restaurant,0.52%,94.11%,1.02%," 49,218 "," 52,028 ",5.71%, 955 , 26 
retail,0.20%,100.00%,0.00%," 46,315 "," 85,019 ",83.57%, 242 , 2 
retail account,3.41%,100.00%,2.94%," 77,563 "," 91,010 ",17.34%, 976 , 11 
retail banking,0.71%,100.00%,0.00%," 87,977 "," 162,609 ",84.83%, 190 , 8 
retail consultant,1.58%,100.00%,0.00%," 66,548 "," 70,448 ",5.86%, 198 , 1 
retail marketing,5.88%,92.05%,2.63%," 96,161 "," 108,211 ",12.53%, 942 , 23 
retail operations,1.25%,92.86%,0.00%," 70,537 "," 93,251 ",32.20%, 937 , 22 
retail sales,0.64%,93.02%,2.35%," 40,185 "," 46,078 ",14.66%," 1,145 ", 3 
retail sales consultant,0.97%,93.89%,3.79%," 52,038 "," 109,323 ",110.08%," 2,894 ", 28 
retail sales representative,0.74%,90.69%,2.38%," 52,313 "," 46,236 ",-11.62%, 769 , 3 
retail salesperson,0.29%,90.61%,5.74%," 39,562 "," 50,406 ",27.41%," 1,503 ", 4 
retail store,0.57%,95.97%,1.32%," 52,403 "," 57,198 ",9.15%," 4,050 ", 33 
retention,1.87%,92.80%,1.09%," 49,792 "," 80,120 ",60.91%," 2,370 ", 34 
revenue,4.58%,95.21%,2.60%," 107,812 "," 120,998 ",12.23%, 615 , 34 
revenue accountant,1.81%,96.88%,0.00%," 88,785 "," 106,356 ",19.79%," 2,625 ", 94 
revenue analyst,9.26%,95.88%,2.26%," 95,092 "," 113,543 ",19.40%, 613 , 19 
rf engineer,4.93%,98.11%,1.17%," 113,014 "," 118,977 ",5.28%," 1,275 ", 85 
rigger,1.03%,100.00%,0.00%," 61,930 "," 60,943 ",-1.59%," 3,471 ", 63 
risk,3.41%,95.69%,1.50%," 136,543 "," 148,032 ",8.41%, 804 , 42 
risk analyst,8.32%,95.23%,2.33%," 98,373 "," 106,449 ",8.21%," 1,700 ", 226 
risk compliance,4.65%,97.39%,0.32%," 138,632 "," 148,903 ",7.41%," 3,088 ", 490 
risk consultant,4.00%,97.42%,1.03%," 120,999 "," 126,890 ",4.87%, 712 , 41 
risk officer,3.35%,97.28%,0.54%," 141,299 "," 153,220 ",8.44%," 1,473 ", 201 
rn,0.49%,96.09%,2.08%," 70,665 "," 91,178 ",29.03%," 5,611 ", 213 
route sales representative,1.02%,93.43%,3.86%," 54,369 "," 50,903 ",-6.38%," 4,823 ", 48 
safety,0.71%,94.76%,2.59%," 68,945 "," 73,008 ",5.89%," 2,672 ", 26 
safety coordinator,0.64%,93.83%,0.00%," 74,672 "," 78,985 ",5.78%," 3,369 ", 33 
safety engineer,2.60%,94.56%,0.48%," 99,267 "," 127,924 ",28.87%," 2,307 ", 71 
safety officer,0.55%,88.46%,2.38%," 57,714 "," 54,138 ",-6.20%, 178 , 3 
sale,0.41%,100.00%,0.00%," 37,838 "," 52,837 ",39.64%, 154 , 1 
sales,0.87%,93.30%,1.38%," 84,299 "," 90,826 ",7.74%," 2,459 ", 74 
sales account,4.92%,93.28%,5.87%," 94,518 "," 111,869 ",18.36%," 1,544 ", 75 
sales administration,3.53%,94.51%,4.15%," 66,512 "," 71,026 ",6.79%, 113 , 2 
sales administrator,0.98%,93.56%,2.08%," 48,426 "," 49,749 ",2.73%, 769 , 16 
sales analyst,10.83%,94.07%,1.47%," 83,164 "," 84,957 ",2.16%, 641 , 19 
sales business development,6.31%,93.98%,4.18%," 132,600 "," 155,815 ",17.51%, 543 , 26 
sales cashier,0.29%,97.06%,1.52%," 33,322 "," 37,601 ",12.84%, 403 , 1 
sales consultant,1.11%,92.86%,4.84%," 64,056 "," 74,579 ",16.43%," 1,077 ", 4 
sales coordinator,1.88%,94.38%,2.97%," 55,738 "," 64,578 ",15.86%," 1,134 ", 22 
sales customer service,0.85%,94.19%,4.83%," 45,948 "," 42,640 ",-7.20%, 63 , 2 
sales development,8.38%,93.17%,2.06%," 105,071 "," 147,441 ",40.32%," 1,230 ", 49 
sales development representative,10.61%,87.90%,6.40%," 69,529 "," 93,291 ",34.18%," 4,540 ", 452 
sales engineer,6.74%,95.14%,2.92%," 113,429 "," 132,054 ",16.42%," 1,595 ", 129 
sales engineering,12.89%,95.08%,2.98%," 115,237 "," 135,846 ",17.88%," 1,823 ", 160 
sales marketing,1.93%,93.06%,6.14%," 107,379 "," 229,229 ",113.48%, 179 , 3 
sales marketing coordinator,3.35%,92.94%,3.92%," 55,653 "," 55,621 ",-0.06%, 244 , 9 
sales officer,0.46%,100.00%,0.00%," 66,459 "," 78,748 ",18.49%, 243 , 1 
sales operations,6.62%,94.25%,1.68%," 109,855 "," 133,736 ",21.74%," 1,008 ", 60 
sales operations analyst,12.28%,91.43%,2.76%," 87,549 "," 99,771 ",13.96%," 3,336 ", 241 
sales producer,1.15%,92.52%,2.79%," 63,402 "," 69,589 ",9.76%," 2,657 ", 60 
sales promoter,1.77%,96.67%,13.33%," 50,188 "," 46,381 ",-7.59%, 398 , 6 
sales representative,0.76%,94.79%,2.43%," 72,633 "," 70,770 ",-2.56%," 2,227 ", 21 
sales sales,1.60%,93.39%,3.32%," 108,346 "," 116,790 ",7.79%, 719 , 14 
sales service,0.59%,97.50%,5.00%," 64,955 "," 159,388 ",145.38%, 68 , 1 
sales service representative,0.68%,94.87%,3.75%," 55,340 "," 129,917 ",134.76%, 443 , 2 
sales support,1.28%,92.36%,0.00%," 61,419 "," 67,480 ",9.87%, 254 , 13 
sales support representative,2.82%,96.10%,0.72%," 56,060 "," 80,265 ",43.18%," 2,415 ", 45 
sales trainer,0.88%,100.00%,4.17%," 77,648 "," 86,715 ",11.68%, 649 , 16 
sales training,2.28%,95.85%,2.55%," 85,452 "," 97,776 ",14.42%, 999 , 28 
salesforce consultant,19.28%,97.37%,2.19%," 106,796 "," 118,473 ",10.93%, 350 , 39 
salesforce developer,18.84%,98.67%,0.31%," 114,035 "," 126,267 ",10.73%," 3,394 ", 614 
sandwich artist,0.23%,92.73%,6.36%," 33,323 "," 32,246 ",-3.23%," 3,991 ", 57 
sandwich maker,0.53%,88.24%,17.65%," 33,157 "," 32,489 ",-2.01%," 2,853 ", 66 
sap,6.79%,97.37%,1.05%," 123,116 "," 131,832 ",7.08%, 463 , 47 
sap abap consultant,5.26%,96.15%,0.00%," 97,691 "," 114,675 ",17.39%," 1,149 ", 97 
sap basis administrator,5.77%,97.14%,0.00%," 88,347 "," 97,889 ",10.80%, 561 , 35 
sap basis consultant,8.84%,97.18%,0.47%," 96,341 "," 123,887 ",28.59%," 2,130 ", 165 
